uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
48dde9c9503a13ce02d82532d9045d03,"El litigante presentó ante el juzgado que adelantara la audiencia en su contra una excusa médica por problemas estomacales. Su defensor, Iván Cancino, también había pedido que se aplazara la audiencia por un compromiso laboral y luego, también, por una excusa médica.","Imputación de cargos contra abogado de Álvaro Uribe, Diego Cadena, quedó aplazada",https://elespectador.com/noticias/judicial/imputacion-de-cargos-contra-abogado-de-alvaro-uribe-diego-cadena-quedo-aplazada-articulo-905169,elespectador,elespectador.com,9,20
c628398c433a5fbf035c9302037b8ff9,"Pobladores del municipio de Lorica, en Córdoba, aseguran que no llueve hace 14 meses y que el desabastecimiento y la escasez de agua no solo está afectando a las comunidades de la zona, sino también la vida de animales silvestres como los monos aulladores.",Por sequía hay alerta de muerte de monos aulladores en Córdoba,https://elespectador.com/noticias/medio-ambiente/alerta-por-muerte-de-monos-aulladores-en-cordoba-por-sequia-articulo-905235,elespectador,elespectador.com,6,21
cfd0ed67ba89c300f2d4ad4cc4b18adc,"El actor, cantante, bailarín, piloto de avión y uno de los más grandes ídolos de Hollywood está de cumpleaños. Aquí hacemos un recuento de su vida y su carrera artística.","John Travolta, la leyenda del cine, cumple 66 años",https://elespectador.com/entretenimiento/gente/john-travolta-la-leyenda-del-cine-cumple-66-anos-articulo-905230,elespectador,elespectador.com,6,15
669e4f061a1fe53f21746edb6ad2fefb,"El comisionado para la Paz aseguró que dicho paro no tuvo resonancia en todo el territorio nacional, sino en, por lo menos, cuatro departamentos. Esta situación, a su juicio, demuestra una división al interior del Eln.","“No fue un paro armado, sino una amenaza a la tranquilidad”: Miguel Ceballos",https://elespectador.com/noticias/politica/no-fue-un-paro-armado-sino-una-amenaza-la-tranquilidad-miguel-ceballos-articulo-905195,elespectador,elespectador.com,7,18
4e1b8df3e580c353ab26459fd1a924b1,Lo invitamos a suscribirse al canal de Youtube de El Espectador haciendo clic acá.,¿Por qué protestan los camioneros en Bogotá?,https://elespectador.com/noticias/bogota/por-que-protestan-los-camioneros-en-bogota-video-905228,elespectador,elespectador.com,3,8
8a0f3e38d29f7788a7cbb762950eca10,"De acuerdo con el Departamento Administrativo de Presidencia de la República, la salida está relacionada con una ""pérdida de confianza"" por parte del Gobierno.",Retiran de la presidencia de la Agencia Nacional de Hidrocarburos a Luis M. Morelli,https://elespectador.com/economia/retiran-de-la-presidencia-de-la-agencia-nacional-de-hidrocarburos-luis-m-morelli-articulo-905137,elespectador,elespectador.com,7,11
aebbc5331559a43f2a1b49218787d268,"La víctima de 12 años, cansada de sufrir los actos del esposo de una prima, reveló su martirio en un mensaje de voz a su mejor amiga.","Esta es la historia de V, la niña argentina que denunció los abusos de un familiar a través de Whatsapp",https://elespectador.com/noticias/actualidad/esta-es-la-historia-de-v-la-nina-argentina-que-denuncio-los-abusos-de-un-familiar-traves-de-whatsapp-articulo-905201,elespectador,elespectador.com,9,13
d166b8b355d1dba8cbcc7239895fd405, ,Feminicidio: ¿Qué es y por qué es un delito más grave? - Las Igualadas,https://elespectador.com/opinion/lasigualadas-feminicidio-que-es-y-por-que-es-un-delito-mas-grave-articulo-905161,elespectador,elespectador.com,4,0
06e4eb16103e3d930dfb2840e11d4d7a,"De las 109 empresas estadounidenses en el este de China consultadas por la Cámara de Comercio de Estdos Unidos de Shanghai, las dos terceras partes reanudaron la producción manufacturera, pero el 78 % no tiene suficientes trabajadores para hacer funcionar normalmente sus líneas de producción.","La ""pesadilla logística"" en China para empresas extranjeras a causa del coronavirus",https://elespectador.com/economia/la-pesadilla-logistica-en-china-para-empresas-extranjeras-causa-del-coronavirus-articulo-905236,elespectador,elespectador.com,7,22
4d94c0213b0e8144c12122f6f36d26e4,"Quitarles todos los procesos electorales a las altas cortes, crear inhabilidades para los magistrados y ampliar facultades jurisdiccionales de los notarios son algunas de las propuestas.",Este es el borrador de reforma a la justicia que le presentó el Gobierno al Congreso,https://elespectador.com/noticias/judicial/este-es-el-borrador-de-reforma-la-justicia-que-le-presento-el-gobierno-al-congreso-articulo-905248,elespectador,elespectador.com,6,13
a3ba5a8a70a66bf02ebf55d03db335d3,"Otra novedad son las nuevas categorías como 'Historias personales', 'Crímenes reales', 'Viajes' o 'Relaciones'.",Spotify actualiza su sección de pódcasts y le añade tráilers,https://elespectador.com/tecnologia/spotify-actualiza-su-seccion-de-podcasts-y-le-anade-trailers-articulo-905254,elespectador,elespectador.com,6,5
414cbffe8bda86177385fe92d694d014,"Tras una reunión del Comité Técnico Nacional de Emergencias en la que se evaluó el panorama del nuevo coronavirus (Covid-19) en el país, el ministro de Salud encargado, Iván González, aseguró que el país continua sin la presencia de casos confirmados.","""Colombia ha descartado 13 alertas por coronavirus, no hay ningún caso confirmado"": Minsalud",https://elespectador.com/noticias/salud/colombia-ha-descartado-13-alertas-por-coronavirus-no-hay-ningun-caso-confirmado-articulo-905226,elespectador,elespectador.com,8,22
683b8c6ce479eb49399fc3d56b70341f,"Safe DM fue creado por la desarrolladora Kelsey Bressler, que utilizó Inteligencia Artificial (IA) para crear el 'plugin' y entrenó su algoritmo con imágenes que solicitó a través de la red social.","'Safe DM', el filtro que elimina las fotos de desnudos en los mensajes directos de Twitter",https://elespectador.com/tecnologia/safe-dm-el-filtro-que-elimina-las-fotos-de-desnudos-en-los-mensajes-directos-de-twitter-articulo-905068,elespectador,elespectador.com,8,18
59fcbce5ef220d78c854860d45db1eec,"La Superintendencia de Sociedades admitió al periódico en proceso de insolvencia para mantener viable la compañía y evitar su quiebra. La caída de ingresos por publicidad, entre los factores.","Por dificultades en la industria, El País de Cali entra en reorganización empresarial ",https://elespectador.com/economia/por-dificultades-en-la-industria-el-pais-de-cali-entra-en-reorganizacion-empresarial-articulo-905154,elespectador,elespectador.com,7,15
7b64d6b0b3ccabb36855911c9d22b7f4,"En 2019, la entidad logró un ahorro de casi $4 billones en recursos de la nación, que no utilizó, gracias a sus resultados en afiliaciones, transferencias de otros fondos y rendimientos financieros. Por cuenta de traslados desde fondos privados, sumó más de $9,2 billones.",‘Colpensiones está reduciendo su carga a la Nación’: Juan Miguel Villa,https://elespectador.com/economia/colpensiones-esta-reduciendo-su-carga-la-nacion-juan-miguel-villa-articulo-905015,elespectador,elespectador.com,7,21
175939c5eb00b4f77bd3e6024403bac5,Este martes el antiguo secretariado de la guerrilla de las Farc se presentó ante la Comisión de la Verdad para rendir sus informes sobre siete temas. Es la primera de varias contribuciones.,"""Venimos con el compromiso de aportar verdad"": Partido FARC ante la Comisión de la Verdad",https://elespectador.com/colombia2020/justicia/verdad/venimos-con-el-compromiso-de-aportar-verdad-partido-farc-ante-la-comision-de-la-verdad-articulo-905227,elespectador,elespectador.com,8,15
