body,title,url
"El Ministerio de Relaciones Exteriores informó que recibió la solicitud de la Corte Suprema de Justicia para que se realice el pedido formal de extradición de Aida Merlano, la excongresista condenada a 15 años de cárcel, quien se encuentra en Venezuela. ",Cancillería inicia trámite para pedir extradición de Merlano a Guaidó,https://www.eltiempo.com/politica/gobierno/cancilleria-inicia-tramite-para-la-extradicion-de-aida-merlano-461922
"""Transcurridas 24 horas de la intervención, el paciente permanece ingresado en la UCI y tanto su situación clínica como los estudios de imagen realizados presentan una evolución favorable"", informó este viernes el hospital  Hospital Ruber Internacional. Según el diario El País (España), el centro hospitalario agregó que esta será el único parte médico que se emita en el día,  ""salvo que surgiera algún cambio relevante en la evolución del paciente"".",Joaquín Sabina presenta 'evolución favorable' luego de cirugía,https://www.eltiempo.com/cultura/musica-y-libros/joaquin-sabina-presenta-evolucion-favorable-luego-de-cirugia-462158
A la ventanilla del triage se asoma un joven sangrando en su brazo izquierdo. No necesita decir que tiene el hueso roto para notar que a esa extremidad deforme algo grave le pasó. Es venezolano y pide atención porque no lo quisieron recibir en otro hospital.  A eso agrega una súplica. Requiere auxilio urgente.,El drama de las urgencias en un hospital en la frontera con Venezuela,https://www.eltiempo.com/salud/la-dramatica-situacion-de-un-hospital-en-la-frontera-con-venezuela-461882
"Mientras lees este artículo, miles de millones de partículas llenas de energía bombardean tu cuerpo cada segundo. No las ves ni las sientes, pero han atravesado el universo hasta llegar a la Tierra.","Cómo es IceCube ""el telescopio más extraño del mundo"" ",https://www.eltiempo.com/tecnosfera/novedades-tecnologia/como-es-icecube-el-telescopio-mas-extrano-del-mundo-que-caza-particulas-fantasma-en-la-antartica-462264
"





carro

12:49 p.m. 




                            Recuperan camioneta que fue robada en 30 segundos en Cali
                        


Video muestra cómo se presenta el hurto en parqueadero público. Policí ...












Homicidios en Medellín

12:29 p.m. 




                            'Siga robando': mensaje que le dejaron a hombre asesinado en Medellín
                        


El hecho ocurrió en la comuna 13. Alcalde Daniel Quintero lamentó la s ...














Carnaval Barranquilla

11:59 a.m. 




                            1.200 policías cuidarán la noche de Guacherna en Barranquilla
                        












ELN

11:09 a.m. 




                            Este es el balance del paro armado del Eln en algunos puntos del país
                        












Carnaval Barranquilla

10:46 a.m. 




                            ¡Llegó la Guacherna! Comparsa de exhabitantes de calle prende la rumba
                        









","
Otro duelo Zlatan-Cristiano Ronaldo: sus parejas, dos modelos hermosas
",https://www.eltiempo.com/cultura/gente/san-valentin-y-los-memes-que-rompieron-las-redes-esta-semana-462176
"Un fallo del pasado 29 de enero de la Corte Suprema de Justicia marcó el punto final en la historia judicial de Magda Milena Jiménez Carranza quien, por lo menos desde el 2006, se había especializado en estafar a particulares con los que tramitaba negocios para venderles carros que, en realidad, nunca recibían. La misma mujer aparece en los registros de la Jurisdicción Especial para la Paz afirmando ser exintegrante de las Farc, pidiendo su libertad. ",La estafadora con las ventas de carros que intentó salir libre en JEP,https://www.eltiempo.com/justicia/cortes/mujer-que-estafaba-a-compradores-y-vendedores-de-carros-habia-pedido-libertad-en-la-jep-461828
"La aspiración de acercarse a la verdad garantiza el progreso del conocimiento. Para la ciencia, la verdad es muy importante. No solo por ella misma (lo que sería suficiente), sino porque, además, es necesaria para resolver problemas. La ciencia no pretende tener una verdad terminada, sino una aproximación que se mejora continuamente por la necesidad de explicar nuevos hechos que contradicen el consenso temporal. Algunos consensos son fuertes y, aunque requieran ese acercamiento continuo hacia una verdad más precisa, son aceptados como hechos ciertos.",,https://www.eltiempo.com/opinion/columnistas/moises-wasserman/para-que-la-verdad-columna-de-moises-wasserman-461994
Irene Manotas es una bumanguesa que tiene un doctorado en Ciencias de la Computación y actualmente trabaja en el equipo de tecnologías de Próxima Generación en IMB. Manotas habló con EL TIEMPO acerca de cómo ha sido su proceso profesional dentro de un gigante de la tecnología y cuál es el futuro de las mujeres en la ciencia.,‘Las mujeres sí podemos crear más tecnologías’: Manotas,https://www.eltiempo.com/tecnosfera/novedades-tecnologia/entrevista-con-irene-manotas-trabajadora-de-ibm-462046
"El inicio de año ha estado marcado por una serie de feminicidios ocurridos en diferentes ciudades y municipios del país; en menos de 45 días se han registrado más de 20 asesinatos de mujeres.  Tan solo el 50 por ciento de los victimarios ha sido capturado por las autoridades y llevado ante un juez, el 25 por ciento fue identificado, pero está prófugo; del restante no se tiene identificación.","Feminicidio, el delito de 'segunda' en Colombia",https://www.eltiempo.com/podcast/no-es-hora-de-callar/feminicidio-el-delito-de-segunda-en-colombia-462254
"


                                    Motor
                                



                                  Ford v Ferrari. Los 'Detalles' detrás de cámaras
                                

",,https://www.portafolio.co/mis-finanzas/calcule-cuanto-le-pagara-su-empresa-por-concepto-de-cesantias-525689
"Esta es la lista de los países y territorios que notificaron contagios y fallecimientos por el nuevo coronavirus, surgido en diciembre en la ciudad china de Wuhan y que ha dejado al menos 1.380 muertos y unos 64.000 contagiados en China. Fuera de China continental se reportan tres muertes (una en Japón, una en Filipinas y otra en Hong Kong) y más de 500 contagios en una treintena de países. Hasta el momento no se registran casos en América Latina y África.",Estos son los países que han reportado afectados por el coronavirus,https://www.eltiempo.com/salud/paises-que-han-reportado-afectados-por-el-coronavirus-462106
"Se descartó que el vehículo parqueado en la calle 77 con carrera novena estuviera cargado con explosivos y fuera una amenaza para la comunidad. De acuerdo al reporte más reciente, el dueño del carro se acercó en los últimos minutos y explicó que lo había dejado en el punto mientras hacía una diligencia. ",Se descarta amenaza de explosivo en la calle 77,https://www.eltiempo.com/bogota/acordonan-la-calle-77-por-presencia-de-un-vehiculo-sospechoso-462230
"





Música

02:30 p.m. 




                            Paula Arenas representará a Colombia en Viña del Mar 2020
                        


'Buena para nada’ es la canción que llevará al festival. ...












ELN

02:25 p.m. 




                            Este es el balance del paro armado del Eln en algunos puntos del país
                        


En el Cauca y en Norte de Santander ya han ocurrido varios hechos viol ...














carro

12:49 p.m. 




                            Recuperan camioneta que fue robada en 30 segundos en Cali
                        












Homicidios en Medellín

12:29 p.m. 




                            'Siga robando': mensaje que le dejaron a hombre asesinado en Medellín
                        












Carnaval Barranquilla

11:59 a.m. 




                            1.200 policías cuidarán la noche de Guacherna en Barranquilla
                        









",Colombia exporta flores para San Valentín,https://www.eltiempo.com/economia/sectores/colombia-exporta-flores-para-san-valentin-461822
"Un 'cambiazo' en el Hospital de Meissen terminó con la fuga de un detenido por el delito de extorsión. Así lo confirmaron las autoridades, las cuales -ahora- están tras la pista del hombre. Los hechos ocurrieron en la noche de este martes en el sur de Bogotá. Alejandro Cifuentes López, tenía antecedentes por acceso carnal violenrto, hurto y era investigado por secuestro extorsivo agravado y secuestro. Hasta esta semana había permanecido en la estación de Policía de Ciudad Bolívar, hasta que solicitó ser trasladado a un centro médico por un dolor de abdomen. ",El dossier del detenido hizo 'cambiazo' en un hospital y se fugó,https://www.eltiempo.com/bogota/delitos-del-detenido-que-hizo-cambiazo-en-hospital-de-meissen-y-se-fugo-461398
"Un aberrante caso de maltrato animal sucedió en Rusia luego de que una pareja adoptara a una perra en un refugio animal, la matara a golpes y posteriormente se la comiera.",Pareja mató a golpes a perra que había adoptado y luego se la comió,https://www.eltiempo.com/mundo/europa/perra-fue-adoptada-asesinada-y-despues-comida-por-sus-duenos-en-rusia-461868
"Es una verdadera lástima que el país no haya podido pasar la página de las organizaciones armadas que buscan sembrar terror a gran escala. Y también preocupan, y deben ser motivo de discusión, las razones por las cuales estas consignas intimidantes, más allá de qué tan fundadas estén, tengan semejante eco en los tiempos que vivimos. Sin duda, este tipo de organizaciones han sabido sacar infame provecho de una predisposición de la ciudadanía a –ingenuamente y movida por una buena intención– la circulación en las redes sociales y los servicios de mensajería de este tipo de mensajes. Pedagogía y autocontrol son las claves.",,https://www.eltiempo.com/opinion/editorial/otra-torpeza-del-eln-editorial-461970
"





carro

12:49 p.m. 




                            Recuperan camioneta que fue robada en 30 segundos en Cali
                        


Video muestra cómo se presenta el hurto en parqueadero público. Policí ...












Homicidios en Medellín

12:29 p.m. 




                            'Siga robando': mensaje que le dejaron a hombre asesinado en Medellín
                        


El hecho ocurrió en la comuna 13. Alcalde Daniel Quintero lamentó la s ...














Carnaval Barranquilla

11:59 a.m. 




                            1.200 policías cuidarán la noche de Guacherna en Barranquilla
                        












ELN

11:09 a.m. 




                            Este es el balance del paro armado del Eln en algunos puntos del país
                        












Carnaval Barranquilla

10:46 a.m. 




                            ¡Llegó la Guacherna! Comparsa de exhabitantes de calle prende la rumba
                        









","
San Valentín y los memes que rompieron las redes esta semana
",https://www.eltiempo.com/cultura/gente/justin-bieber-y-su-alarmante-cambio-de-aspecto-fisico-461856
"El club inglés del Manchester City fue excluido de las competiciones europeas de las dos próximas temporadas debido a sus infracciones de las reglas del 'fair play' financiero, anunció este viernes la Uefa.",Sacan a un grande de Europa: Uefa le ordena no jugar la 'Champions',https://www.eltiempo.com/deportes/futbol-internacional/fifa-sanciona-a-manchester-city-por-dos-anos-por-por-violaciones-al-fair-play-financiero-462266
"Hace dos años nació Concierto de novela, un montaje de Michelle Gutty y Marcelo Cezán que cuenta la vida de un matrimonio.",Un ‘Concierto de novela’ que celebra el amor para siempre,https://www.eltiempo.com/cultura/arte-y-teatro/marcelo-cezan-y-michelle-gutty-obra-de-teatro-461940
"El producto interno bruto (PIB) de Colombia en el 2019 se expandió en 3,3 % según divulgó el Dane en este viernes. En el último trimestre del año la cifra fue de 3,4 %.Hay que recordar que el resultado en el 2018 había sido de 2,5 %. De los sectores que mide el Dane, el de la construcción tuvo resultado negativo en el año (-1,3 %), mientras que en el último trimestre del año ya mostró signos de mejora (1,9 %). Hubo recuperación de la rama de explotación de minas (2,1 % en el año, frente a -1,9 % en 2018). Entre tanto, la industria no logró superar la cifra del año anterior (llegó a 1,6 %). Comercio, uno de los que ayudó al impulso creció al 4,9 % en el año.Se destaca el crecimiento de la demanda interna, que tuvo un resultado de 4,5 %, lo que implica 1,1 % más que en 2018.","La economía colombiana creció 3,3 % en el 2019",https://www.eltiempo.com/economia/sectores/pib-colombia-2019-crecio-al-3-3-como-esperaba-carrasquilla-462188
"





ELN

02:25 p.m. 




                            Este es el balance del paro armado del Eln en algunos puntos del país
                        


En el Cauca y en Norte de Santander ya han ocurrido varios hechos viol ...












carro

12:49 p.m. 




                            Recuperan camioneta que fue robada en 30 segundos en Cali
                        


Video muestra cómo se presenta el hurto en parqueadero público. Policí ...














Homicidios en Medellín

12:29 p.m. 




                            'Siga robando': mensaje que le dejaron a hombre asesinado en Medellín
                        












Carnaval Barranquilla

11:59 a.m. 




                            1.200 policías cuidarán la noche de Guacherna en Barranquilla
                        












Carnaval Barranquilla

10:46 a.m. 




                            ¡Llegó la Guacherna! Comparsa de exhabitantes de calle prende la rumba
                        









","
San Valentín y los memes que rompieron las redes esta semana
",https://www.eltiempo.com/cultura/cine-y-tv/asi-se-ven-los-actores-de-vikingos-en-la-vida-real-461158
"





Música

02:30 p.m. 




                            Paula Arenas representará a Colombia en Viña del Mar 2020
                        


'Buena para nada’ es la canción que llevará al festival. ...












ELN

02:25 p.m. 




                            Este es el balance del paro armado del Eln en algunos puntos del país
                        


En el Cauca y en Norte de Santander ya han ocurrido varios hechos viol ...














carro

12:49 p.m. 




                            Recuperan camioneta que fue robada en 30 segundos en Cali
                        












Homicidios en Medellín

12:29 p.m. 




                            'Siga robando': mensaje que le dejaron a hombre asesinado en Medellín
                        












Carnaval Barranquilla

11:59 a.m. 




                            1.200 policías cuidarán la noche de Guacherna en Barranquilla
                        









","
Los equipos excluidos por la Uefa de competiciones europeas
",https://www.eltiempo.com/bogota/fotos-de-contaminacion-en-bogota-alerta-amarilla-por-calidad-de-aire-461502
"Aunque tuvo un menor ritmo durante el cuarto trimestre, con respecto al impulso que traía durante el segundo y tercer trimestre, la inversión en obras civiles, es decir la relacionada con proyectos de infraestructura vial, férrea, minera y otras como estadios y parques, cerró el año 2019 con una variación del 10,1 por ciento.","Inversión en obras civiles subió 10,1 % en 2019",https://www.eltiempo.com/economia/sectores/crecimiento-de-la-inversion-en-obras-civiles-de-colombia-durante-el-2019-461906
"





ELN

02:25 p.m. 




                            Este es el balance del paro armado del Eln en algunos puntos del país
                        


En el Cauca y en Norte de Santander ya han ocurrido varios hechos viol ...












carro

12:49 p.m. 




                            Recuperan camioneta que fue robada en 30 segundos en Cali
                        


Video muestra cómo se presenta el hurto en parqueadero público. Policí ...














Homicidios en Medellín

12:29 p.m. 




                            'Siga robando': mensaje que le dejaron a hombre asesinado en Medellín
                        












Carnaval Barranquilla

11:59 a.m. 




                            1.200 policías cuidarán la noche de Guacherna en Barranquilla
                        












Carnaval Barranquilla

10:46 a.m. 




                            ¡Llegó la Guacherna! Comparsa de exhabitantes de calle prende la rumba
                        









","
San Valentín y los memes que rompieron las redes esta semana
",https://www.eltiempo.com/cultura/gente/pete-buttigieg-candidato-veterano-de-guerra-a-la-presidencia-de-ee-uu-461166
"





carro

12:49 p.m. 




                            Recuperan camioneta que fue robada en 30 segundos en Cali
                        


Video muestra cómo se presenta el hurto en parqueadero público. Policí ...












Homicidios en Medellín

12:29 p.m. 




                            'Siga robando': mensaje que le dejaron a hombre asesinado en Medellín
                        


El hecho ocurrió en la comuna 13. Alcalde Daniel Quintero lamentó la s ...














Carnaval Barranquilla

11:59 a.m. 




                            1.200 policías cuidarán la noche de Guacherna en Barranquilla
                        












ELN

11:09 a.m. 




                            Este es el balance del paro armado del Eln en algunos puntos del país
                        












Carnaval Barranquilla

10:46 a.m. 




                            ¡Llegó la Guacherna! Comparsa de exhabitantes de calle prende la rumba
                        









","
San Valentín y los memes que rompieron las redes esta semana
",https://www.eltiempo.com/cultura/cine-y-tv/premios-razzie-a-lo-peor-del-cine-2020-nominados-461564
"





carro

12:49 p.m. 




                            Recuperan camioneta que fue robada en 30 segundos en Cali
                        


Video muestra cómo se presenta el hurto en parqueadero público. Policí ...












Homicidios en Medellín

12:29 p.m. 




                            'Siga robando': mensaje que le dejaron a hombre asesinado en Medellín
                        


El hecho ocurrió en la comuna 13. Alcalde Daniel Quintero lamentó la s ...














Carnaval Barranquilla

11:59 a.m. 




                            1.200 policías cuidarán la noche de Guacherna en Barranquilla
                        












ELN

11:09 a.m. 




                            Este es el balance del paro armado del Eln en algunos puntos del país
                        












Carnaval Barranquilla

10:46 a.m. 




                            ¡Llegó la Guacherna! Comparsa de exhabitantes de calle prende la rumba
                        









",Esto es lo que les espera a muchos colombianos en la sala de urgencias,https://www.eltiempo.com/salud/servicio-de-urgencias-en-colombia-la-critica-situacion-del-pais-en-el-sector-de-la-salud-460436
"





ELN

02:25 p.m. 




                            Este es el balance del paro armado del Eln en algunos puntos del país
                        


En el Cauca y en Norte de Santander ya han ocurrido varios hechos viol ...












carro

12:49 p.m. 




                            Recuperan camioneta que fue robada en 30 segundos en Cali
                        


Video muestra cómo se presenta el hurto en parqueadero público. Policí ...














Homicidios en Medellín

12:29 p.m. 




                            'Siga robando': mensaje que le dejaron a hombre asesinado en Medellín
                        












Carnaval Barranquilla

11:59 a.m. 




                            1.200 policías cuidarán la noche de Guacherna en Barranquilla
                        












Carnaval Barranquilla

10:46 a.m. 




                            ¡Llegó la Guacherna! Comparsa de exhabitantes de calle prende la rumba
                        









","Bojayá por fin sepultó a sus muertos, pero el duelo no termina",https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/masacre-de-bojaya-cuerpos-identificados-seran-velados-y-enterrados-428160
"Maluma es uno de los cantantes de reguetón más importantes de Colombia y el mundo, y su talento lo ha llevado hasta a grabar una canción con Madonna, la ‘Reina del pop’.Con apenas 17 años, Juan Luis Londoño Arias (su verdadero nombre y actualmente de 26), saltó a la fama en el país y, desde ahí, no ha parado de crecer.",Maluma negó que fuera gay y hasta retó a seguidor que lo preguntó,https://www.eltiempo.com/cultura/gente/respuesta-de-maluma-a-un-seguidor-que-le-pregunto-si-era-gay-461802
